epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6652842164039612,0.0010000000474974513,0.6544661521911621,0.6578525900840759,0.7236031889915466
0,0.6714110374450684,0.0010000000474974513,0.6536398530006409,0.655715823173523,0.7400068640708923
0,0.6512866616249084,0.0010000000474974513,0.6708851456642151,0.6674679517745972,0.6392426490783691
1,0.65625,0.0010000000474974513,0.5959018468856812,0.6661324501037598,0.639805257320404
2,0.7291921973228455,0.0010000000474974513,0.5329129695892334,0.7518696784973145,0.50220787525177
3,0.75,0.0010000000474974513,0.5138666033744812,0.7497329115867615,0.5006917715072632
4,0.7865962982177734,0.0010000000474974513,0.4502889811992645,0.8370726704597473,0.3737727403640747
0,0.5,0.0010000000474974513,0.6904107928276062,0.5,0.6741309762001038
1,0.5,0.0010000000474974513,0.6634439826011658,0.49946582317352295,0.6654745936393738
0,0.6002450585365295,0.0010000000474974513,0.652267575263977,0.7291666865348816,0.5384286046028137
1,0.65625,0.0010000000474974513,0.5893483757972717,0.7286324501037598,0.5421404838562012
2,0.7388538122177124,0.0010000000474974513,0.5257095694541931,0.780715823173523,0.4513581097126007
3,0.75,0.0010000000474974513,0.48559701442718506,0.7881944179534912,0.45008566975593567
4,0.7891884446144104,0.0010000000474974513,0.4451380968093872,0.8218482732772827,0.3925362527370453
0,0.6280987858772278,0.0010000000474974513,0.6313804984092712,0.7446581125259399,0.5267119407653809
1,0.6875,0.0010000000474974513,0.6073342561721802,0.7465277910232544,0.5251193046569824
2,0.7499293088912964,0.0010000000474974513,0.5085879564285278,0.788728654384613,0.44090786576271057
3,0.78125,0.0010000000474974513,0.4495018720626831,0.7852563858032227,0.4457719624042511
4,0.7945612072944641,0.0010000000474974513,0.44185155630111694,0.808226466178894,0.41559144854545593
5,0.71875,0.0010000000474974513,0.5148635506629944,0.811965823173523,0.409368097782135
6,0.817890465259552,0.0010000000474974513,0.3940899670124054,0.8664529919624329,0.32029521465301514
7,0.75,0.0010000000474974513,0.3902764320373535,0.8488247990608215,0.3365348279476166
8,0.8443303108215332,0.0010000000474974513,0.3519997298717499,0.8790063858032227,0.29924747347831726
9,0.90625,0.0010000000474974513,0.26818156242370605,0.8787392973899841,0.2989334464073181
